SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	October 10, 2019	October 09, 2019	October 08, 2019	October 07, 2019	October 04, 2019
Chinese yuan	0.1026140000	0.1025830000	0.1027120000		
Euro	0.8063940000	0.8040600000	0.8041390000	0.8041620000	0.8026970000
Japanese yen	0.0068116300	0.0068375000	0.0068159700	0.0068494600	0.0068444100
U.K. pound	0.8952950000	0.8950760000	0.8943170000	0.9019670000	0.9019100000
U.S. dollar	0.7310920000	0.7322280000	0.7319670000	0.7315220000	0.7311200000
Algerian dinar		0.0060867700	0.0060862100	0.0060835700	0.0060794300
Australian dollar		0.4932290000	0.4939310000		0.4938720000
Botswana pula		0.0660470000	0.0663162000	0.0664222000	0.0661664000
Brazilian real		0.1788190000		0.1798150000	0.1800610000
Brunei dollar		0.5298700000	0.5302190000	0.5296280000	0.5300280000
Canadian dollar		0.5495560000	0.5494010000	0.5497690000	
Chilean peso		0.0010137700		0.0010223500	0.0010161100
Colombian peso		0.0002120820		0.0002132540	0.0002108430
Czech koruna		0.0311348000	0.0311634000	0.0311936000	0.0311858000
Danish krone		0.1076520000	0.1076640000	0.1076830000	0.1075050000
Indian rupee		0.0102968000		0.0103066000	0.0103163000
Israeli New Shekel				0.2094250000	0.2100320000
Korean won			0.0006117570	0.0006111290	0.0006073940
Kuwaiti dinar		2.4094400000	2.4093700000	2.4079100000	
Malaysian ringgit		0.1744310000	0.1746520000	0.1744630000	0.1747420000
Mauritian rupee		0.0200527000	0.0200476000	0.0200378000	0.0200426000
Mexican peso		0.0374179000	0.0373758000	0.0374138000	0.0374444000
New Zealand dollar		0.4618890000	0.4603340000	0.4623220000	0.4619220000
Norwegian krone		0.0799838000	0.0800533000	0.0801053000	0.0803376000
Omani rial		1.9043600000	1.9036900000	1.9025300000	1.9014800000
Peruvian sol					
Philippine peso		0.0141381000	0.0141137000	0.0141472000	0.0140735000
Polish zloty		0.1859300000	0.1857550000	0.1852050000	0.1852390000
Qatari riyal		0.2011620000	0.2010900000	0.2009680000	0.2008570000
Russian ruble		0.0112482000	0.0112841000	0.0112844000	0.0112428000
Saudi Arabian riyal		0.1952610000	0.1951910000	0.1950730000	0.1949650000
Singapore dollar		0.5298700000	0.5302190000	0.5296280000	0.5300280000
South African rand		0.0483429000	0.0478972000	0.0483798000	0.0483547000
Swedish krona		0.0737122000	0.0739532000	0.0741773000	0.0741366000
Swiss franc		0.7364630000	0.7381300000	0.7356790000	0.7360520000
Thai baht		0.0241293000	0.0240328000	0.0240206000	0.0239916000
Trinidadian dollar		0.1083640000	0.1083270000		0.1085490000
U.A.E. dirham		0.1993810000	0.1993100000	0.1991890000	0.1990800000
Uruguayan peso		0.0196777000	0.0196633000	0.0196545000	

Currency units per SDR(3)

Currency	October 10, 2019	October 09, 2019	October 08, 2019	October 07, 2019	October 04, 2019
Chinese yuan	9.745260	9.748200	9.735960		
Euro	1.240090	1.243690	1.243570	1.243530	1.245800
Japanese yen	146.808000	146.252000	146.714000	145.997000	146.105000
U.K. pound	1.116950	1.117220	1.118170	1.108690	1.108760
U.S. dollar	1.367820	1.365690	1.366180	1.367010	1.367760
Algerian dinar		164.291000	164.306000	164.377000	164.489000
Australian dollar		2.027460	2.024570		2.024820
Botswana pula		15.140700	15.079300	15.055200	15.113400
Brazilian real		5.592250		5.561270	5.553670
Brunei dollar		1.887260	1.886010	1.888120	1.886690
Canadian dollar		1.819650	1.820160	1.818950	
Chilean peso		986.417000		978.139000	984.145000
Colombian peso		4,715.160000		4,689.240000	4,742.870000
Czech koruna		32.118400	32.088900	32.057900	32.065900
Danish krone		9.289190	9.288160	9.286520	9.301890
Indian rupee		97.117600		97.025200	96.934000
Israeli New Shekel				4.774980	4.761180
Korean won			1,634.640000	1,636.320000	1,646.380000
Kuwaiti dinar		0.415034	0.415046	0.415298	
Malaysian ringgit		5.732930	5.725670	5.731870	5.722720
Mauritian rupee		49.868600	49.881300	49.905700	49.893700
Mexican peso		26.725200	26.755300	26.728100	26.706300
New Zealand dollar		2.165020	2.172340	2.162990	2.164870
Norwegian krone		12.502500	12.491700	12.483600	12.447500
Omani rial		0.525111	0.525296	0.525616	0.525906
Peruvian sol					
Philippine peso		70.730900	70.853100	70.685400	71.055500
Polish zloty		5.378370	5.383440	5.399420	5.398430
Qatari riyal		4.971120	4.972900	4.975920	4.978670
Russian ruble		88.903100	88.620300	88.617900	88.945800
Saudi Arabian riyal		5.121350	5.123190	5.126290	5.129130
Singapore dollar		1.887260	1.886010	1.888120	1.886690
South African rand		20.685600	20.878000	20.669800	20.680500
Swedish krona		13.566300	13.522100	13.481200	13.488600
Swiss franc		1.357840	1.354770	1.359290	1.358600
Thai baht		41.443400	41.609800	41.630900	41.681300
Trinidadian dollar		9.228160	9.231310		9.212430
U.A.E. dirham		5.015520	5.017310	5.020360	5.023110
Uruguayan peso		50.818900	50.856200	50.878900	


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
